text,label
"Mẹ ơi, con cần mẹ chuyển tiền vào tài khoản con ạ",1
Bạn chuyển tiền giúp mình vào số tài khoản 987654321,1
Gửi 300k cho tôi vào tài khoản này,1
"Anh ơi, chuyển tiền vào ví MoMo của em nhé",1
"Em cần 500k để mua sách, anh chuyển giúp em được không?",1
Chị chuyển giúp em tiền vào số tài khoản 246813579 nhé,1
Bạn chuyển 150k cho mình vào ví AirPay được không?,1
"Mình cần tiền, gửi vào tài khoản này giúp mình nhé",1
Chị chuyển tiền cho em để mua vé xem phim ạ,1
Anh gửi tiền vào ví ZaloPay của em nhé,1
Cậu chuyển tôi 200k vào tài khoản ngân hàng Techcombank nhé,1
Bạn gửi tiền vào ví Moca cho mình được không?,1
Anh chuyển 300k vào tài khoản của em nhé,1
Chị gửi 100k vào tài khoản Vietcombank của em ạ,1
Cậu chuyển tiền vào ví điện tử của tớ nhé,1
Anh gửi 250k vào tài khoản số 135792468 của em ạ,1
"Em cần 400k, anh chuyển vào tài khoản em được không?",1
Chị gửi 600k vào số tài khoản 864209753 của em nhé,1
Bạn chuyển 50k vào ví của mình nhé,1
Chị chuyển tiền giúp em vào tài khoản 1029384756 ạ,1
Anh chuyển 450k vào ví điện tử của em nhé,1
Cậu gửi 350k vào tài khoản ngân hàng Agribank của tớ nhé,1
Bạn gửi 700k vào tài khoản BIDV của mình được không?,1
Chị chuyển 800k vào số tài khoản 567890123 của em ạ,1
Anh chuyển 900k vào tài khoản VietinBank của em nh,1
"Không sao, tôi sẽ chuyển tiền sau",0
"Mình không cần tiền đâu, cám ơn bạn",0
"Tôi đã nhận được tiền rồi, không cần chuyển nữa",0
"Không cần gửi tiền, mình đã giải quyết được vấn đề",0
"Tớ không cần tiền lúc này, cảm ơn cậu",0
"Tôi sẽ tự chuyển tiền sau, không cần lo",0
"Không cần chuyển tiền, tôi đã thanh toán rồi",0
"Mình đã nhận được tiền từ người khác rồi, không cần chuyển nữa",0
"Tớ sẽ tự thanh toán, không cần cậu chuyển tiền",0
"Đừng chuyển tiền, mình đã giải quyết được rồi",0
"Không cần gửi tiền, tôi đã xong việc",0
"Tớ không cần tiền đâu, đã có người hỗ trợ rồi",0
"Tôi đã nhận được tiền từ ngân hàng, không cần chuyển nữa",0
"Mình không cần tiền, đã giải quyết được vấn đề",0
"Tôi đã nhận được tiền từ người khác, không cần chuyển nữa",0
"Tôi sẽ chuyển tiền sau, không cần gửi tiền cho tôi",0
"Không cần gửi tiền, mình đã nhận được tiền từ nguồn khác",0
"Đừng chuyển tiền, tôi đã nhận được tiền rồi",0
"Mình không cần tiền, đã có người giúp rồi",0
"Không cần gửi tiền, tôi đã thanh toán",0
"Tôi đã nhận được tiền, không cần chuyển tiền nữa",0
"Mình không cần tiền, đã giải quyết được vấn đề rồi",0
"Tớ không cần tiền đâu, đã có người chuyển rồi",0
